fat,len,wid,slat,slon
0,6.0,50,34.2,-82.82
0,1.98,150,39.5095,-102.591
0,1.02,20,35.0,-91.39
0,0.4,10,41.3096,-83.9418
0,1.5,60,36.63,-79.73
0,1.0,100,41.22,-102.45
0,0.42,75,45.1055,-95.8077
0,1.0,75,30.5131,-84.6022
0,2.0,100,35.1,-95.73
0,11.58,400,41.05,-95.32
0,0.12,10,29.92,-93.88
0,0.02,20,47.233,-117.766
0,3.0,20,47.78,-101.08
0,2.1,125,44.32,-70.57
0,0.11,25,40.44,-94.84
0,0.2,100,35.2,-85.93
0,1.0,20,37.12,-83.78
0,0.1,20,40.12,-103.05
0,4.0,300,34.85,-94.63
0,0.5,200,37.92,-84.87
0,1.9,25,32.3658,-90.8303
0,0.87,50,40.81,-81.8
0,2.44,30,35.46,-80.45
0,0.1,20,30.5,-90.67
0,9.7,500,32.38,-86.67
0,9.27,200,35.07,-111.83
0,5.0,10,30.42,-92.88
0,3.15,50,34.325,-103.8229
0,2.0,50,35.82,-77.45
0,1.0,8,46.98,-108.85
0,3.25,30,39.96,-84.88
0,0.5,30,38.9889,-82.5794
0,3.0,100,33.07,-79.78
0,0.2,75,31.3074,-84.3932
0,2.77,50,32.32,-102.48
0,7.0,1500,33.18,-99.33
0,2.6,50,41.4164,-87.86
0,0.5,50,31.33,-100.18
0,0.2,25,39.77,-100.78
0,7.28,550,32.4914,-88.602
0,8.59,200,33.3507,-86.4013
0,33.0,150,31.67,-95.3
0,0.1,10,41.18,-92.0
0,0.62,75,37.6387,-96.22
0,0.58,50,40.685,-86.042
3,6.0,580,35.57,-87.92
0,4.11,300,39.8918,-84.0498
0,0.1,25,48.67,-99.47
0,3.5,50,32.7,-92.13
0,8.0,100,35.05,-85.32
0,0.1,50,40.61,-104.78
0,0.6,100,43.07,-82.7
0,0.1,10,33.17,-99.75
0,2.22,200,44.0725,-98.573
0,0.5,50,30.58,-104.0
0,5.0,50,42.15,-100.55
0,3.5,300,38.08,-78.93
0,2.08,70,42.4085,-92.8743
0,0.5,25,41.78,-93.38
0,10.6,300,33.2693,-80.8933
0,2.0,50,35.22,-100.6
0,7.0,50,41.53,-80.17
0,0.58,50,39.8929,-84.1861
0,0.5,35,28.08,-80.6
0,0.2,40,42.9425,-101.283
0,0.35,30,30.312,-96.2315
0,0.1,50,40.14,-103.14
0,1.8,75,38.401,-76.541
0,0.2,30,41.53,-90.82
0,0.1,10,47.47,-104.32
0,1.44,30,29.4714,-95.1001
0,5.0,220,34.6,-83.03
0,1.0,75,30.1,-81.63
0,2.0,20,41.93,-88.93
0,4.0,0,35.25,-91.27
0,15.76,1300,32.8685,-96.9149
0,0.2,200,39.65,-101.48
0,5.11,25,36.53,-100.55
0,0.1,5,41.82,-98.47
0,2.0,200,42.9,-102.07
0,0.5,20,30.05,-94.95
0,0.3,50,37.12,-101.72
0,0.3,20,41.9,-89.83
0,10.45,390,31.008,-83.2517
0,2.2,100,36.46,-83.58
0,2.5,70,26.43,-81.63
0,3.5,0,35.53,-91.12
0,0.1,25,34.93,-100.9
0,4.0,200,43.83,-112.5
0,0.3,10,45.89,-99.25
0,0.01,20,41.8497,-88.5735
0,0.23,50,44.5895,-88.4096
0,1.0,10,32.28,-111.0
0,0.59,150,37.0877,-79.3084
0,0.1,50,39.37,-103.65
0,0.3,25,39.32,-84.15
